Date of Data: Year,Date of Data: Month,Origin Airport: Alpha Code,Origin Airport: Unique Numeric Code,Destination Airport: Alpha Code,Destination Airport: Numeric Code,Carrier: Alpha Code,Distance,Aircraft Type: Type,Departures Performed,Departures Scheduled,Available Capacity: Payload Pounds,Available Seats,Passengers Transported,Freight Transported,Mail Transported,Ramp in minutes,Airborne in minutes,Quarter
2019,4,FLL,32467,MEX,33252,AD,1289,96,1.0,0,104537.0,0.0,0.0,0.0,0,0,0,2
2019,3,FLL,32467,REC,34496,AD,3841,96,6.0,0,618039.0,1626.0,1363.0,127428.0,0,0,0,1
2019,9,FLL,32467,REC,34496,AD,3841,96,3.0,0,211930.0,813.0,664.0,49348.0,0,0,0,3
2018,10,FLL,32467,REC,34496,AD,3841,96,5.0,0,510844.0,1355.0,1100.0,105230.0,0,0,0,4
2019,4,FLL,32467,REC,34496,AD,3841,96,5.0,0,522185.0,1355.0,1110.0,99323.0,0,0,0,2
2019,5,FLL,32467,REC,34496,AD,3841,96,4.0,0,290400.0,1084.0,965.0,70706.0,0,0,0,2
2019,7,FLL,32467,REC,34496,AD,3841,96,9.0,0,647053.0,2439.0,2276.0,159302.0,0,0,0,3
2019,1,FLL,32467,REC,34496,AD,3841,96,9.0,0,919437.0,2439.0,2253.0,195584.0,0,0,0,1
2019,6,FLL,32467,REC,34496,AD,3841,96,4.0,0,297361.0,1084.0,938.0,80584.0,0,0,0,2
2018,11,FLL,32467,REC,34496,AD,3841,96,4.0,0,403777.0,1084.0,969.0,84548.0,0,0,0,4
2019,2,FLL,32467,REC,34496,AD,3841,96,5.0,0,511746.0,1355.0,1239.0,128238.0,0,0,0,1
2019,8,FLL,32467,REC,34496,AD,3841,96,5.0,0,352416.0,1355.0,1156.0,81444.0,0,0,0,3
2018,12,FLL,32467,REC,34496,AD,3841,96,11.0,0,1132245.0,2981.0,2682.0,236300.0,0,0,0,4
